scenario,model,split,row_count,mae,rmse,mape,r2
exclude_all_flagged,xgboost,test,354,7.4433541917531505,9.926893444041577,0.4561948917309624,0.5848942854894719
exclude_all_flagged,random_forest,test,354,7.465911268377081,9.834086658145626,0.4267014410732346,0.5926196717877064
exclude_all_flagged,seasonal_previous_week,test,354,9.30225988700565,12.937594673361945,0.35018861837623516,0.29491889986227504
exclude_all_flagged,naive_previous_day,test,354,11.596045197740112,16.19086371373097,0.4200592588078395,-0.10426174221863427
exclude_all_flagged,rolling_7d_mean,test,354,12.658192090395481,15.182674515452701,0.4444729306987342,0.028979149937610305
exclude_all_flagged,rolling_28d_mean,test,354,12.995560936238903,15.419783044999317,0.5246162542392053,-0.0015866293867972114
exclude_all_flagged,ridge_regression,test,354,13.405459019212985,15.646302770133628,0.546773899617086,-0.031229793290040053
exclude_all_flagged,xgboost,validation,183,6.3998228917356395,8.822891575931715,0.20960599086872853,0.6477217979392338
exclude_all_flagged,random_forest,validation,183,6.720105651180886,9.04264675131423,0.22516594399277096,0.6299545932615153
exclude_all_flagged,ridge_regression,validation,183,9.61009554331243,11.796425908697712,0.253511015383398,0.37025493140599675
exclude_all_flagged,seasonal_previous_week,validation,183,10.234972677595628,14.60537366487795,0.3293731678567681,0.034640151392303364
exclude_all_flagged,naive_previous_day,validation,183,10.781420765027322,15.091161963179214,0.33007187863087784,-0.030645346989342848
exclude_all_flagged,rolling_7d_mean,validation,183,12.950039032006247,15.159473451592627,0.3981819675725396,-0.039997080794320405
exclude_all_flagged,rolling_28d_mean,validation,183,13.376463700234194,14.948019903683827,0.4106854326350531,-0.011186403878972628
exclude_over_capacity_only,random_forest,test,365,8.01882146846705,10.756858198832727,0.41608522293910993,0.5758975398005368
exclude_over_capacity_only,xgboost,test,365,8.154098432357998,11.672946047511873,0.4673939901996971,0.5005858294907564
exclude_over_capacity_only,seasonal_previous_week,test,365,9.550684931506849,13.438240263139479,0.35018861837623516,0.3381116946849225
exclude_over_capacity_only,naive_previous_day,test,365,11.306849315068494,15.986552568133588,0.4200592588078395,0.06328053547491619
exclude_over_capacity_only,rolling_7d_mean,test,365,12.527984344422702,15.107156157900812,0.4444729306987342,0.1635011632836615
exclude_over_capacity_only,ridge_regression,test,365,12.743660523559967,14.938116711682712,0.5207957584906735,0.18211620948431007
exclude_over_capacity_only,rolling_28d_mean,test,365,13.510665362035224,16.073343764989644,0.5246162542392053,0.05308200270707952
exclude_over_capacity_only,xgboost,validation,183,6.34676535663709,8.83162196243547,0.20302571925055546,0.6470242836438667
exclude_over_capacity_only,random_forest,validation,183,6.638733341717052,8.987230311168506,0.21944849340297998,0.6344762259118235
exclude_over_capacity_only,ridge_regression,validation,183,9.450444155801174,11.515097074706505,0.25041378535184483,0.3999338983828772
exclude_over_capacity_only,seasonal_previous_week,validation,183,10.234972677595628,14.60537366487795,0.3293731678567681,0.034640151392303364
exclude_over_capacity_only,naive_previous_day,validation,183,10.781420765027322,15.091161963179214,0.33007187863087784,-0.030645346989342848
exclude_over_capacity_only,rolling_7d_mean,validation,183,12.950039032006247,15.159473451592627,0.3981819675725396,-0.039997080794320405
exclude_over_capacity_only,rolling_28d_mean,validation,183,13.376463700234194,14.948019903683827,0.4106854326350531,-0.011186403878972628
full_data_reference,xgboost,test,365,8.038751805971746,11.210156742707436,0.45421510557199646,0.5394006989330469
full_data_reference,random_forest,test,365,8.062182397491625,10.870294573731558,0.4235863603636286,0.5669056372441492
full_data_reference,seasonal_previous_week,test,365,9.550684931506849,13.438240263139479,0.35018861837623516,0.3381116946849225
full_data_reference,naive_previous_day,test,365,11.306849315068494,15.986552568133588,0.4200592588078395,0.06328053547491619
full_data_reference,rolling_7d_mean,test,365,12.527984344422702,15.107156157900812,0.4444729306987342,0.1635011632836615
full_data_reference,ridge_regression,test,365,12.743665802416984,14.938251430262303,0.5208217737606834,0.18210145733830663
full_data_reference,rolling_28d_mean,test,365,13.510665362035224,16.073343764989644,0.5246162542392053,0.05308200270707952
full_data_reference,xgboost,validation,184,6.269149920214778,8.82552774544736,0.2019120617455519,0.650569236063367
full_data_reference,random_forest,validation,184,6.683636706503147,8.978561305821817,0.22021331208773384,0.6383459997341876
full_data_reference,ridge_regression,validation,184,9.501217954307368,11.567874192129965,0.25058422658465845,0.39967437460512245
full_data_reference,seasonal_previous_week,validation,184,10.21195652173913,14.572345757274812,0.32807716743857424,0.04733830602838662
full_data_reference,naive_previous_day,validation,184,10.815217391304348,15.102188151275357,0.32967787797296966,-0.023197621099294352
full_data_reference,rolling_7d_mean,validation,184,12.944099378881988,15.143472388767123,0.3969943138338502,-0.028799414785697364
full_data_reference,rolling_28d_mean,validation,184,13.419836956521738,14.99025974981432,0.4102121045967814,-0.008087164525466095
