model,split,row_count,mae,rmse,mape,r2
transformer_28d_small,test,354,7.549647309685831,9.94694082761621,0.4260711987998638,0.5832159786838278
gru_42d_balanced,test,354,7.8434700292382535,10.548041313682939,0.48246988694237447,0.5313208473778579
transformer_56d_regularized,test,354,7.852382492884404,10.419036716650382,0.4174659681654109,0.5427148178525276
gru_56d_wide,test,354,7.853772508222504,10.589950573731418,0.48536592898156666,0.527589156064033
gru_56d_more_regularized,test,354,7.8620708864287465,10.587009058361536,0.48883917425770557,0.5278515578112681
gru_84d_compact,test,354,8.27747772777148,10.684160817359427,0.49512817083031113,0.5191464523693552
gru_28d_regularized,test,354,8.455293132760431,10.884156804095518,0.4938026490965451,0.5009758408634908
lstm_56d_regularized,test,354,8.874841663123524,11.412780361189089,0.5286856992714212,0.4513253307908548
gru_14d_small,test,354,8.999413021540237,11.084525698118687,0.456800267586131,0.48243342550930834
lstm_28d_regularized,test,354,9.016146422779492,11.273243598559754,0.4787456988040331,0.464659900956894
lstm_14d_small,test,354,9.337290489067465,11.82224225452549,0.5011071515756024,0.411248941961155
mlp_medium,test,354,12.663189704361512,16.630839773822782,0.6436159307133528,-0.1650923500263204
mlp_regularized,test,354,13.878200249585541,17.481739742461617,0.6790520148395773,-0.2873637994544569
mlp_small,test,354,15.851679559478617,20.747366741032714,0.6585887837805794,-0.8132511410241687
transformer_28d_small,validation,183,6.2089096131871955,8.57122979638904,0.19850762986300793,0.6675317601042325
transformer_56d_regularized,validation,183,6.692768941160108,9.217272095432065,0.21478461369308552,0.6155244712015802
gru_28d_regularized,validation,183,6.813970044662392,9.330730357174312,0.23031299070151337,0.6060009586849664
gru_84d_compact,validation,183,6.952713898622273,9.350717581132207,0.2353375022658407,0.6043111913930387
lstm_14d_small,validation,183,7.031913757324219,9.89842052475976,0.2415025066959747,0.5566000012392688
gru_42d_balanced,validation,183,7.107493113950302,9.686642168500109,0.23411923667724935,0.5753702671841449
gru_56d_wide,validation,183,7.213591685060595,9.911343520200685,0.23944026552978193,0.5554414736503207
gru_56d_more_regularized,validation,183,7.291639526033662,9.914046131903538,0.24269783709913115,0.5551989973642462
lstm_28d_regularized,validation,183,7.38971780036968,9.818155222642057,0.2420908542160338,0.5637618182940074
gru_14d_small,validation,183,7.6029828806392485,9.645294297399088,0.2335149342583423,0.5789876327449773
lstm_56d_regularized,validation,183,8.46268571530535,10.739138292867011,0.2957155820081801,0.4780814212470974
mlp_regularized,validation,183,10.497767557604016,14.089176951497796,0.30687791561767236,0.10167159142499693
mlp_small,validation,183,10.817008129734948,15.400444688350618,0.36224665641637693,-0.07332293422074265
mlp_medium,validation,183,10.929665290139017,14.126681813416521,0.30953702634508273,0.09688259260169929
