source_file,source_sheet,source_row,report_period_start,report_period_end,business_date,arrivals,departures,stayovers,projected_walk_ins,projected_cxl_no_show_rate,rooms_sold,total_comp_rooms,out_of_order_rooms,occupancy_rate_reported,room_revenue_net,adr_reported,revpar_reported,transient_rooms,group_rooms_picked_up,group_rooms_not_picked_up,group_room_revenue_net,group_adr_reported,group_non_gtd_arrivals,group_gtd_arrivals,group_comp_rooms,total_group_guests_in_house
ReservationForecast 2024.xls,ReservationForecast,192,2024-01-01,2024-12-31,2024-07-01,10,16,4,0,0.0,14,0,7,0.26,1921.22,137.23,36.2494,14,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,193,2024-01-01,2024-12-31,2024-07-02,11,8,6,0,0.0,17,0,2,0.29,2173.21,127.8358,37.4691,17,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,194,2024-01-01,2024-12-31,2024-07-03,14,8,9,0,0.0,23,0,1,0.39,3047.35,132.4934,51.65,23,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,195,2024-01-01,2024-12-31,2024-07-04,15,12,11,0,0.0,26,0,1,0.44,3382.23,130.0857,57.3259,26,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,196,2024-01-01,2024-12-31,2024-07-05,53,20,6,0,0.0,59,0,1,1.0,10145.8,171.9627,171.9627,46,13,0,2824.67,217.2823,0,13,0,24
ReservationForecast 2024.xls,ReservationForecast,197,2024-01-01,2024-12-31,2024-07-06,31,31,28,0,0.0,59,0,1,1.0,11957.18,202.664,202.664,42,17,0,3744.57,220.2688,0,4,0,32
ReservationForecast 2024.xls,ReservationForecast,198,2024-01-01,2024-12-31,2024-07-07,20,57,2,0,0.0,22,0,30,0.73,2974.57,135.2077,99.1523,22,0,0,-24.4,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,199,2024-01-01,2024-12-31,2024-07-08,16,11,11,0,0.0,27,0,14,0.59,3285.81,121.6966,71.4306,27,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,200,2024-01-01,2024-12-31,2024-07-09,18,12,15,0,0.0,33,0,1,0.56,4691.26,142.1593,79.5128,33,0,0,0.0,0.0,0,0,0,0
ReservationForecast 2024.xls,ReservationForecast,201,2024-01-01,2024-12-31,2024-07-10,19,12,21,0,0.0,40,0,2,0.69,6268.4,156.71,108.0758,34,6,0,1322.6,220.4333,0,6,0,14
