business_date,pricing_model,is_flagged_quality_row,data_quality_flag_type,target_rooms_sold,property_total_rooms,forecast_rooms_sold,forecast_occupancy_rate,demand_band,pricing_reference_adr,pricing_adjustment_rate,recommended_adr,historical_adr_net,recommended_vs_reference_adr_delta,recommended_vs_historical_adr_delta,historical_room_revenue_net,simulated_revenue_at_actual_rooms,forecast_revenue_at_recommended_adr,simulated_revenue_delta_at_actual_rooms,data_quality_review_note
2025-09-02,xgboost,0,,24,60,37.90709686279297,0.6317849477132161,neutral,114.69,0.0,114.69,114.6917,0.0,-0.0,2752.6,2752.56,4347.56,-0.04,
2025-09-03,xgboost,0,,22,60,33.209346771240234,0.5534891128540039,moderately_low,109.29,-0.04,104.92,109.2873,-4.37,-4.37,2404.32,2308.24,3484.32,-96.08,
2025-09-04,xgboost,0,,33,60,24.511438369750977,0.40852397282918296,low,176.96,-0.08,162.8,176.9558,-14.16,-14.16,5839.54,5372.4,3990.46,-467.14,
2025-09-05,xgboost,0,,60,60,55.806976318359375,0.9301162719726562,very_high,209.89,0.12,235.08,209.8882,25.19,25.19,12593.29,14104.8,13119.1,1511.51,
2025-09-06,xgboost,0,,59,60,58.15867233276367,0.9693112055460612,very_high,208.49,0.12,233.51,208.4886,25.02,25.02,12300.83,13777.09,13580.63,1476.26,
2025-09-07,xgboost,0,,13,60,33.703338623046875,0.5617223103841146,moderately_low,109.65,-0.04,105.26,109.6485,-4.39,-4.39,1425.43,1368.38,3547.61,-57.05,
2025-09-08,xgboost,0,,22,60,24.33515357971191,0.4055858929951985,low,121.23,-0.08,111.53,121.2286,-9.7,-9.7,2667.03,2453.66,2714.1,-213.37,
2025-09-09,xgboost,0,,18,60,31.57085227966309,0.5261808713277182,moderately_low,108.26,-0.04,103.93,108.2567,-4.33,-4.33,1948.62,1870.74,3281.16,-77.88,
2025-09-10,xgboost,0,,20,60,26.01848602294922,0.4336414337158203,low,116.76,-0.08,107.42,116.765,-9.34,-9.34,2335.3,2148.4,2794.91,-186.9,
2025-09-11,xgboost,0,,28,60,31.319580078125,0.5219930013020834,moderately_low,113.55,-0.04,109.01,113.5479,-4.54,-4.54,3179.34,3052.28,3414.15,-127.06,
2025-09-12,xgboost,0,,58,60,53.97690200805664,0.8996150334676106,high,172.76,0.08,186.58,172.7574,13.82,13.82,10019.93,10821.64,10071.01,801.71,
2025-09-13,xgboost,0,,58,60,58.730743408203125,0.978845723470052,very_high,198.87,0.12,222.73,198.8712,23.86,23.86,11534.53,12918.34,13081.1,1383.81,
2025-09-14,xgboost,0,,20,60,37.38527297973633,0.6230878829956055,neutral,106.09,0.0,106.09,106.087,0.0,0.0,2121.74,2121.8,3966.2,0.06,
2025-09-15,xgboost,0,,37,60,28.203184127807617,0.4700530687967936,low,108.01,-0.08,99.37,108.0095,-8.64,-8.64,3996.35,3676.69,2802.55,-319.66,
2025-09-16,xgboost,0,,42,60,42.56694412231445,0.7094490687052409,moderately_high,114.67,0.04,119.26,114.6674,4.59,4.59,4816.03,5008.92,5076.53,192.89,
2025-09-17,xgboost,0,,39,60,40.53564453125,0.6755940755208333,neutral,115.42,0.0,115.42,115.4223,0.0,-0.0,4501.47,4501.38,4678.62,-0.09,
2025-09-18,xgboost,0,,36,60,42.35444259643555,0.7059073766072591,moderately_high,121.57,0.04,126.43,121.5672,4.86,4.86,4376.42,4551.48,5354.87,175.06,
2025-09-19,xgboost,0,,59,60,56.32527923583984,0.9387546539306639,very_high,198.09,0.12,221.86,198.088,23.77,23.77,11687.19,13089.74,12496.33,1402.55,
2025-09-20,xgboost,0,,60,60,57.83982467651367,0.9639970779418945,very_high,223.16,0.12,249.94,223.1585,26.78,26.78,13389.51,14996.4,14456.49,1606.89,
2025-09-21,xgboost,0,,40,60,37.30391311645508,0.6217318852742513,neutral,171.92,0.0,171.92,171.916,0.0,0.0,6876.64,6876.8,6413.29,0.16,
2025-09-22,xgboost,0,,33,60,40.364479064941406,0.6727413177490235,neutral,118.83,0.0,118.83,118.83,0.0,0.0,3921.39,3921.39,4796.51,0.0,
2025-09-23,xgboost,0,,42,60,39.51008224487305,0.6585013707478841,neutral,120.54,0.0,120.54,120.5381,0.0,0.0,5062.6,5062.68,4762.55,0.08,
